	ReqID	NeedID	ReqText	NeedText	r01_structured_statements	r02_active_voice	r03_appropriate_subject_verb	r04_defined_terms	r05_definite_articles	r06_common_units_of_measure	r07_vague_terms	r08_escape_clauses	r09_open_ended_clauses	r10_superfluous_infinitives	r11_separate_clauses	r12_correct_grammar	r13_correct_spelling	r14_correct_punctuation	r15_logical_expressions	r16_use_of_not	r17_use_of_oblique_symbol	r18_single_thought_sentence	r19_combinators	r20_purpose_phrases	r21_parentheses	r22_enumeration	r23_supporting_diagram_model_ICD	r24_pronouns	r25_headings	r26_absolutes	r27_explicit_conditions	r28_multiple_conditions	r29_classification	r30_unique_expression	r31_solution_free	r32_universal_qualification	r33_range_of_values	r34_measurable_performance	r35_temporal_dependencies	r36_consistent_terms_and_units	r37_acronyms	r38_abbreviations	r39_style_guide	r40_decimal_format	r41_related_needs_and_requirements	r42_structured_sets	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C1_norm	C2_norm	C3_norm	C4_norm	C5_norm	C6_norm	C7_norm	C8_norm	C9_norm	C10_norm	C11_norm	C12_norm	C13_norm	C14_norm	C15_norm	wRQ
3.2.5.21	503.3.4.3	503.0	The NYC CVPD performance monitoring subsystem shall utilize the data from the crash databases and measure the work zone related crash counts and rates in reduced speed zones.	Need to assess speed compliance	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	24	12	5	2	20	10	9	4	10	2	7	7	7	1.0	1.0	0.8	0.75	0.625	1.0	0.8	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9899636994022741
3.2.5.22	503.3.4.4	503.0	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure time to collision for instantaneous safety in reduced speed zones.	Need to assess speed compliance	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	3	21	11	4	2	17	10	9	4	10	2	7	7	7	0.5	1.0	0.7	0.6875	0.5	1.0	0.68	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9769570926899556
3.2.5.23	503.3.5	503.0	The NYC CVPD performance monitoring subsystem shall evaluate whether the number of work zone speed violations on each applicable studied roadway segment decrease from the Before period to the After period and with/without CV.	Need to assess speed compliance	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	23	12	5	2	19	11	9	4	10	2	7	7	7	0.5	1.0	0.7666666666666667	0.75	0.625	1.0	0.76	1.0	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9826468914566711
3.2.5.24	504.1.1	504.0	The NYC CVPD performance monitoring subsystem shall post -process the data surrounding the V2V application events.	Need to assess vehicle-vehicle crashes	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	28	14	7	2	23	11	9	4	10	3	7	7	7	1.0	1.0	0.9333333333333333	0.875	0.875	1.0	0.92	1.0	0.9	1.0	1.0	1.0	0.875	1.0	1.0	0.9984814264293601
3.2.5.25	504.1.1.1	504.0	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the fatality, injury, and property damage only (PDO) crash rates from external crash database sources.	Need to assess vehicle-vehicle crashes	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	2	3	22	12	4	2	20	9	8	4	9	2	6	6	6	1.0	1.0	0.7333333333333333	0.75	0.5	1.0	0.8	0.8181818181818182	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9866090933928076
3.2.5.26	504.1.2	504.0	The NYC CVPD performance monitoring subsystem shall evaluate the change in the number of reportable vehicle -to-vehicle crashes from the Before period to the Pilot period.	Need to assess vehicle-vehicle crashes	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	28	13	7	2	23	11	10	4	10	2	8	7	7	0.5	1.0	0.9333333333333333	0.8125	0.875	1.0	0.92	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9877985655992465
3.2.5.27	504.2.5.1	504.0	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the bus / right -turn related crash counts and rates.	Need to assess vehicle-vehicle crashes	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	21	11	5	2	17	9	8	4	10	2	7	7	7	1.0	1.0	0.7	0.6875	0.625	1.0	0.68	0.8181818181818182	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9856501729385182
3.2.5.28	504.2.5.2	504.0	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure right -turn related conflicts between a bus and another vehicle.	Need to assess vehicle-vehicle crashes	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	22	11	5	2	18	10	9	4	10	2	7	7	7	1.0	1.0	0.7333333333333333	0.6875	0.625	1.0	0.72	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9873278511087026
3.2.5.29	504.2.6	504.0	The NYC CVPD performance monitoring subsystem shall evaluate the change in the number of bus / right -turn vehicle crashes from the Before period to the Pilot period.	Need to assess vehicle-vehicle crashes	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	27	13	7	2	22	11	10	4	10	2	8	7	7	0.5	1.0	0.9	0.8125	0.875	1.0	0.88	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.987647643602918
3.2.5.30	504.3.4.1	504.0	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the red light violation counts and rates.	Need to assess vehicle-vehicle crashes	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	23	11	5	2	19	9	8	4	10	2	7	7	7	1.0	1.0	0.7666666666666667	0.6875	0.625	1.0	0.76	0.8181818181818182	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9876626101223346
3.2.5.31	504.3.4.2	504.0	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the crash counts and rates related to red light violation.	Need to assess vehicle-vehicle crashes	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	23	12	4	2	19	10	9	4	10	2	7	7	7	0.5	1.0	0.7666666666666667	0.75	0.5	1.0	0.76	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9797362261934791
3.2.5.32	504.3.5	504.0	The NYC CVPD performance monitoring subsystem shall evaluate the change in the number and severity of red light violations at each studied intersection from the Before period and the Pilot period.	Need to assess vehicle-vehicle crashes	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	24	12	6	2	20	11	9	4	10	2	7	7	7	1.0	1.0	0.8	0.75	0.75	1.0	0.8	1.0	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9919209830057574
3.2.5.33	505.1.5.1	505.0	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the pedestrian related crash counts and rates.	Need to assess vehicle-pedestrian crashes	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	23	12	5	2	19	9	8	4	10	3	7	7	7	1.0	1.0	0.7666666666666667	0.75	0.625	1.0	0.76	0.8181818181818182	0.8	1.0	1.0	1.0	0.875	1.0	1.0	0.9904375730522745
3.2.5.34	505.1.5.2	505.0	The NYC CVPD performance monitoring subsystem shall utilize the post-processed event data and measure pedestrian- related conflicts/hard braking events.	Need to assess vehicle-pedestrian crashes	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	21	11	5	2	17	9	8	4	10	2	7	7	7	1.0	1.0	0.7	0.6875	0.625	1.0	0.68	0.8181818181818182	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9856501729385182
3.2.5.35	505.1.6	505.0	The NYC CVPD performance monitoring subsystem shall evaluate the change in the number of reported vehicle -to-pedestrian crashes from the Before period to the Pilot period.	Need to assess vehicle-pedestrian crashes	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	28	14	6	2	23	11	9	4	10	3	7	7	7	0.5	1.0	0.9333333333333333	0.875	0.75	1.0	0.92	1.0	0.9	1.0	1.0	1.0	0.875	1.0	1.0	0.9898098903971115
3.2.5.36	505.2.1.1	505.0	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the number of pedestrian crossing violation reductions.	Need to assess vehicle-pedestrian crashes	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	25	13	5	2	21	10	9	4	10	3	7	7	7	1.0	1.0	0.8333333333333334	0.8125	0.625	1.0	0.84	0.9090909090909091	0.9	1.0	1.0	1.0	0.875	1.0	1.0	0.9935121373442046
3.2.5.37	505.2.1.2	505.0	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the visually-impaired pedestrian -related crash counts and rates.	Need to assess vehicle-pedestrian crashes	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	22	11	5	2	18	9	8	4	10	2	7	7	7	1.0	1.0	0.7333333333333333	0.6875	0.625	1.0	0.72	0.8181818181818182	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9867673050591156
3.2.5.38	505.2.1.3	505.0	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the conflicts with visually-impaired pedestrians.	Need to assess vehicle-pedestrian crashes	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	23	12	5	2	19	10	9	4	10	2	7	7	7	1.0	1.0	0.7666666666666667	0.75	0.625	1.0	0.76	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9892202850111561
3.2.5.39	505.2.1.4	505.0	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the wait time for crossing at the intersections.	Need to assess vehicle-pedestrian crashes	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	24	13	4	2	20	10	9	4	10	3	7	7	7	0.5	1.0	0.8	0.8125	0.5	1.0	0.8	0.9090909090909091	0.9	1.0	1.0	1.0	0.875	1.0	1.0	0.9826433780084672
3.2.5.40	505.2.2	505.0	The NYC CVPD performance monitoring subsystem shall evaluate the change in the number of reported crashes involving visually-impaired pedestrians from the Before period to the Pilot period.	Need to assess vehicle-pedestrian crashes	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	26	13	6	2	21	11	9	4	10	2	7	7	7	0.5	1.0	0.8666666666666667	0.8125	0.75	1.0	0.84	1.0	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9867584761625287
3.2.5.41	506.1.1.1	506.0	The NYC CVPD performance monitoring subsystem shall uti lize the post -processed event data and measure the reduction in truck route violations Before and After period.	Need to assess vehicle-infrastructure crashes	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	24	13	5	2	20	10	9	4	10	3	7	7	7	1.0	1.0	0.8	0.8125	0.625	1.0	0.8	0.9090909090909091	0.9	1.0	1.0	1.0	0.875	1.0	1.0	0.9928782179960918
3.2.5.42	506.1.2	506.0	The NYC CVPD performance monitoring subsystem shall evaluate the change in the number of reported crashes decrease from the Before peri od to the Pilot period.	Need to assess vehicle-infrastructure crashes	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	26	14	6	2	21	11	9	4	10	3	7	7	7	0.5	1.0	0.8666666666666667	0.875	0.75	1.0	0.84	1.0	0.9	1.0	1.0	1.0	0.875	1.0	1.0	0.9893287560172672
3.3.1.1	203.5.2	203.0	If the ASD determines that it has no valid certificates, it shall cease transmission of BSMs.	Need to manage CV equipment maintenance	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	24	12	7	2	20	11	10	4	10	2	8	7	7	1.0	1.0	0.8	0.75	0.875	1.0	0.8	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9927975985866003
3.3.1.4	401.3.1	401.0	The A SD shall carry out plausibility checking on the remote vehicle BSM data. (Definition of plausibility checking needs to be determined.)	Need to have trusted communications	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	3	22	11	4	2	18	10	6	4	8	2	5	5	5	0.5	1.0	0.7333333333333333	0.6875	0.5	1.0	0.72	0.9090909090909091	0.6	1.0	0.8	0.6666666666666666	0.625	0.7142857142857143	0.7142857142857143	0.9772054561505699
3.3.1.5	401.3.2	401.0	The ASD shall sign its event log file entries using its BSM signing keys.	Need to have trusted communications	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	27	13	7	2	22	11	9	4	10	3	7	7	7	1.0	1.0	0.9	0.8125	0.875	1.0	0.88	1.0	0.9	1.0	1.0	1.0	0.875	1.0	1.0	0.9976952170898052
3.3.1.6	401.3.3	401.0	The ASD operating system (OS) shall prevent the log file signing application from sending messages on any channel other than those that are identified by the PSID or WSA for particular service.	Need to have trusted communications	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	3	20	12	4	2	17	10	8	4	9	2	6	6	6	0.5	1.0	0.6666666666666666	0.75	0.5	1.0	0.68	0.9090909090909091	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9801777107472048
3.3.1.7	401.3.4	401.0	The ASD shall indicate successful receipt of the pseudonym certificates.	Need to have trusted communications	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	28	13	8	2	23	11	10	4	10	2	8	7	7	1.0	1.0	0.9333333333333333	0.8125	1.0	1.0	0.92	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.99538048090556
3.3.1.8	401.3.5	401.0	The SCMS supplier shall track the expected expiry times of ASD enrollment certificates.	Need to have trusted communications	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	28	14	7	2	23	11	9	4	10	3	7	7	7	1.0	1.0	0.9333333333333333	0.875	0.875	1.0	0.92	1.0	0.9	1.0	1.0	1.0	0.875	1.0	1.0	0.9984814264293601
3.3.1.9	401.3.7	401.0	When the ASD has no valid BSM signing certificates, it shall store the log file entries as IEEE 1609.2 data of type unsecured.	Need to have trusted communications	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	2	3	22	9	7	1	19	8	9	4	9	1	7	6	6	1.0	1.0	0.7333333333333333	0.5625	0.875	0.5	0.76	0.7272727272727273	0.9	1.0	0.9	0.3333333333333333	0.875	0.8571428571428571	0.8571428571428571	0.9728601720666181
3.3.1.10	401.3.8	401.0	The ASD vendor shall replace the ASDs that need to be re-enroll ed with newer ASDs.	Need to have trusted communications	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	25	12	6	2	20	11	9	4	10	2	7	7	7	0.5	1.0	0.8333333333333334	0.75	0.75	1.0	0.8	1.0	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9857256577658733
3.3.1.11	401.4.4	401.0	The RSU supplier shall provide the serial number and its enrollment certificate for each RSU.	Need to have trusted communications	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	25	12	6	2	21	11	10	4	10	2	8	7	7	0.5	1.0	0.8333333333333334	0.75	0.75	1.0	0.84	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9853344782690799
3.3.1.12	401.4.6	401.0	The RSU -SCMS interface shall allow the RSU to request application certificates with different contents from the current ones during the lifetime of the current ones.	Need to have trusted communications	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	3	24	12	6	2	20	10	7	4	9	2	6	6	6	0.5	1.0	0.8	0.75	0.75	1.0	0.8	0.9090909090909091	0.7	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9867580230674036
3.3.1.13	401.6.2	401.0	If a device misbehaves, the SCMS shall blacklist the device and its enrollment certificates and prevent it from obtaining more authorization certificates.	Need to have trusted communications	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	21	11	5	2	17	10	9	4	10	2	7	7	7	1.0	1.0	0.7	0.6875	0.625	1.0	0.68	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9861665215653205
3.3.1.14	401.7.1	401.0	The ASD shall obtain certificates via IPv6 connectivity through the RSU.	Need to have trusted communications	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	28	13	8	2	23	11	10	4	10	2	8	7	7	1.0	1.0	0.9333333333333333	0.8125	1.0	1.0	0.92	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.99538048090556
3.3.1.15	401.7.2	401.0	The RSU shall broadcast the WSA for certificate download on control channel 178 and indicate IPv6 connectivity and the IP address on a service channel other than channel 172 or 178.	Need to have trusted communications	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	3	21	11	4	2	18	8	8	4	9	2	6	6	6	0.5	1.0	0.7	0.6875	0.5	1.0	0.72	0.7272727272727273	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.98053909799302
3.3.1.16	401.7.3	401.0	The RSU shall implement a firewall blocking all IP access from devices to any IP address other than those approved for specific applications.	Need to have trusted communications	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	3	23	12	6	1	17	9	9	4	10	1	7	7	7	0.5	1.0	0.7666666666666667	0.75	0.75	0.5	0.68	0.8181818181818182	0.9	1.0	1.0	0.3333333333333333	0.875	1.0	1.0	0.9679259059512858
3.3.1.17	401.7.5	401.0	The RSUs shall support IPv6 tunneling over IPv4.	Need to have trusted communications	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	23	11	7	2	18	10	8	4	9	2	6	6	6	1.0	1.0	0.7666666666666667	0.6875	0.875	1.0	0.72	0.9090909090909091	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9912669967773308
3.3.1.18	401.7.6	401.0	Communication between the ASD and the SCMS shall operate in an encrypted, end-to-end connection in accordance with the published SCMS interface. (Note: The SCMS interface should not need any further security.)	Need to have trusted communications	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	3	19	11	3	2	16	8	8	4	9	2	6	6	6	0.5	1.0	0.6333333333333333	0.6875	0.375	1.0	0.64	0.7272727272727273	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9736777789844793
3.3.1.19	401.7.7	401.0	The information security manager shall investigate and monitor the data traffic usage to detect unapproved use of the IP connection.	Need to have trusted communications	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	22	11	4	2	18	9	8	4	10	2	7	7	7	0.5	1.0	0.7333333333333333	0.6875	0.5	1.0	0.72	0.8181818181818182	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9778940528794873
3.3.1.20	401.7.8	401.0	Communication between the RSU and the SCMS shall operate in an encrypted, end-to-end connection in accordance with the published S CMS interface. (Note: The SCMS interface should not need any further security.)	Need to have trusted communications	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	3	18	11	3	2	16	8	7	4	8	2	5	5	5	0.5	1.0	0.6	0.6875	0.375	1.0	0.64	0.7272727272727273	0.7	1.0	0.8	0.6666666666666666	0.625	0.7142857142857143	0.7142857142857143	0.9724266031968026
3.3.1.21	401.8.1	401.0	The NYCDOT IT shall address any denial of service (DoS) attacks within each NYC network using its existing practices. (Note: the networks include NYCWiN, CityNet, DOTN et, any network that DoITT is responsible for.)	Need to have trusted communications	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	3	20	10	4	2	17	8	6	4	8	2	5	5	5	0.5	1.0	0.6666666666666666	0.625	0.5	1.0	0.68	0.7272727272727273	0.6	1.0	0.8	0.6666666666666666	0.625	0.7142857142857143	0.7142857142857143	0.9766124526928006
3.3.1.22	401.8.2	401.0	The information security manager shall monitor the DSRC communications performance to detect DoS attacks.	Need to have trusted communications	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	27	14	6	2	22	11	9	4	10	3	7	7	7	0.5	1.0	0.9	0.875	0.75	1.0	0.88	1.0	0.9	1.0	1.0	1.0	0.875	1.0	1.0	0.9896628967320388
3.3.1.23	401.8.3	401.0	The RSU shall report over a management interface if channel busy ratios go above a configurable threshold.	Need to have trusted communications	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	26	13	7	2	22	11	10	4	10	2	8	7	7	1.0	1.0	0.8666666666666667	0.8125	0.875	1.0	0.88	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9947543497207088
3.3.1.24	401.8.4	401.0	The ASD shall log an event report every second for which channel busy ratios go above a configurable threshold.	Need to have trusted communications	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	24	11	6	0	18	9	9	4	10	0	7	7	7	0.5	1.0	0.8	0.6875	0.75	0.0	0.72	0.8181818181818182	0.9	1.0	1.0	0.0	0.875	1.0	1.0	0.9166696879241338
3.3.1.25	401.9.1	401.0	The RSU shall operate client -side transport layer security (TLS) and accept only TLS server certificates with specific URLs.	Need to have trusted communications	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	24	12	4	2	20	10	9	4	10	2	7	7	7	1.0	1.0	0.8	0.75	0.5	1.0	0.8	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9864361146133782
3.3.1.26	401.9.2	401.0	The RSU shall protect root certificates for client -side TLS against modification and provide other certificates in the chain, which shall not make a separate query to the internet to obtain the entire chain.	Need to have trusted communications	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	18	11	4	2	15	8	9	4	10	2	7	7	7	0.5	1.0	0.6	0.6875	0.5	1.0	0.6	0.7272727272727273	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9727213426441101
3.3.1.27	401.14.1	401.0	Devices shall communicate using SNMPv3 with SNMP messages protected by being sent over TLS.	Need to have trusted communications	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	3	25	13	7	2	21	10	7	4	9	3	6	6	6	1.0	1.0	0.8333333333333334	0.8125	0.875	1.0	0.84	0.9090909090909091	0.7	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.9945299473390814
3.3.1.28	401.14.2	401.0	Devices shall support establishment of a standard TLS -based VPN with client authentication for communication to the TMC, with a long -term client cert and a single CA cert trusted to authorize connections from the TMC.	Need to have trusted communications	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	22	13	5	2	18	11	9	4	10	2	7	7	7	0.5	1.0	0.7333333333333333	0.8125	0.625	1.0	0.72	1.0	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9823160068258723
